N,chi_t,C,S_ent,sz_A,sz_B,F_pred,S_chsh
2,0.020000,0.00999983,-0.00000000,0.00000000,0.00000000,0.66999994,2.00009999
2,0.079522,0.03975072,-0.00000000,0.00000000,0.00000000,0.67991691,2.00157950
2,0.139045,0.06946640,0.00000000,0.00000000,0.00000000,0.68982213,2.00481977
2,0.198567,0.09912056,-0.00000000,0.00000000,0.00000000,0.69970685,2.00980087
2,0.258090,0.12868694,-0.00000000,0.00000000,0.00000000,0.70956231,2.01649233
2,0.317612,0.15813934,-0.00000000,0.00000000,0.00000000,0.71937978,2.02485362
2,0.377134,0.18745167,-0.00000000,0.00000000,0.00000000,0.72915056,2.03483476
2,0.436657,0.21659800,0.00000000,0.00000000,0.00000000,0.73886600,2.04637699
2,0.496179,0.24555249,0.00000000,0.00000000,0.00000000,0.74851750,2.05941353
2,0.555702,0.27428951,-0.00000000,0.00000000,0.00000000,0.75809650,2.07387052
2,0.615224,0.30278360,-0.00000000,0.00000000,0.00000000,0.76759453,2.08966783
2,0.674746,0.33100951,0.00000000,0.00000000,0.00000000,0.77700317,2.10672000
2,0.734269,0.35894227,0.00000000,0.00000000,0.00000000,0.78631409,2.12493722
2,0.793791,0.38655713,-0.00000000,0.00000000,0.00000000,0.79551904,2.14422612
2,0.853314,0.41382962,-0.00000000,0.00000000,0.00000000,0.80460987,2.16449066
2,0.912836,0.44073559,0.00000000,0.00000000,0.00000000,0.81357853,2.18563296
2,0.972358,0.46725123,-0.00000000,0.00000000,0.00000000,0.82241708,2.20755404
2,1.031881,0.49335304,0.00000000,0.00000000,0.00000000,0.83111768,2.23015446
2,1.091403,0.51901791,-0.00000000,0.00000000,0.00000000,0.83967264,2.25333494
2,1.150926,0.54422311,-0.00000000,0.00000000,0.00000000,0.84807437,2.27699696
2,1.210448,0.56894630,-0.00000000,0.00000000,0.00000000,0.85631543,2.30104315
2,1.269970,0.59316559,-0.00000000,0.00000000,0.00000000,0.86438853,2.32537775
2,1.329493,0.61685955,-0.00000000,0.00000000,0.00000000,0.87228652,2.34990698
2,1.389015,0.64000717,0.00000000,0.00000000,0.00000000,0.88000239,2.37453926
2,1.448538,0.66258795,-0.00000000,0.00000000,0.00000000,0.88752932,2.39918552
2,1.508060,0.68458191,0.00000000,0.00000000,0.00000000,0.89486064,2.42375939
2,1.567582,0.70596957,-0.00000000,0.00000000,0.00000000,0.90198986,2.44817731
2,1.627105,0.72673197,-0.00000000,0.00000000,0.00000000,0.90891066,2.47235867
2,1.686627,0.74685072,0.00000000,0.00000000,0.00000000,0.91561691,2.49622595
2,1.746150,0.76630803,0.00000000,0.00000000,0.00000000,0.92210268,2.51970474
2,1.805672,0.78508664,-0.00000000,0.00000000,0.00000000,0.92836221,2.54272376
2,1.865194,0.80316993,-0.00000000,0.00000000,0.00000000,0.93438998,2.56521495
2,1.924717,0.82054187,-0.00000000,0.00000000,0.00000000,0.94018062,2.58711342
2,1.984239,0.83718710,0.00000000,0.00000000,0.00000000,0.94572903,2.60835752
2,2.043762,0.85309085,0.00000000,0.00000000,0.00000000,0.95103028,2.62888873
2,2.103284,0.86823906,-0.00000000,0.00000000,0.00000000,0.95607969,2.64865178
2,2.162806,0.88261828,-0.00000000,0.00000000,0.00000000,0.96087276,2.66759444
2,2.222329,0.89621584,-0.00000000,0.00000000,0.00000000,0.96540528,2.68566776
2,2.281851,0.90901963,0.00000000,0.00000000,0.00000000,0.96967321,2.70282570
2,2.341374,0.92101833,0.00000000,0.00000000,0.00000000,0.97367278,2.71902539
2,2.400896,0.93220132,-0.00000000,0.00000000,0.00000000,0.97740044,2.73422699
2,2.460418,0.94255869,0.00000000,0.00000000,0.00000000,0.98085290,2.74839363
2,2.519941,0.95208128,0.00000000,0.00000000,0.00000000,0.98402709,2.76149145
2,2.579463,0.96076064,-0.00000000,0.00000000,0.00000000,0.98692021,2.77348951
2,2.638986,0.96858910,0.00000000,0.00000000,0.00000000,0.98952970,2.78435978
2,2.698508,0.97555969,0.00000000,0.00000000,0.00000000,0.99185323,2.79407710
2,2.758030,0.98166629,-0.00000000,0.00000000,0.00000000,0.99388876,2.80261928
2,2.817553,0.98690344,0.00000000,0.00000000,0.00000000,0.99563448,2.80996684
2,2.877075,0.99126655,-0.00000000,0.00000000,0.00000000,0.99708885,2.81610324
2,2.936598,0.99475172,-0.00000000,0.00000000,0.00000000,0.99825057,2.82101470
2,2.996120,0.99735587,0.00000000,0.00000000,0.00000000,0.99911862,2.82469023
2,3.055642,0.99907670,-0.00000000,0.00000000,0.00000000,0.99969223,2.82712168
2,3.115165,0.99991269,-0.00000000,0.00000000,0.00000000,0.99997090,2.82830365
2,3.174687,0.99986309,0.00000000,0.00000000,0.00000000,0.99995436,2.82823351
2,3.234210,0.99892794,0.00000000,0.00000000,0.00000000,0.99964265,2.82691141
2,3.293732,0.99710809,0.00000000,0.00000000,0.00000000,0.99903603,2.82434030
2,3.353254,0.99440512,0.00000000,0.00000000,0.00000000,0.99813504,2.82052587
2,3.412777,0.99082145,-0.00000000,0.00000000,0.00000000,0.99694048,2.81547662
2,3.472299,0.98636026,-0.00000000,0.00000000,0.00000000,0.99545342,2.80920385
2,3.531822,0.98102547,-0.00000000,0.00000000,0.00000000,0.99367516,2.80172159
2,3.591344,0.97482183,0.00000000,0.00000000,0.00000000,0.99160728,2.79304679
2,3.650866,0.96775483,-0.00000000,0.00000000,0.00000000,0.98925161,2.78319917
2,3.710389,0.95983070,-0.00000000,0.00000000,0.00000000,0.98661023,2.77220127
2,3.769911,0.95105650,0.00000000,0.00000000,0.00000000,0.98368550,2.76007860
4,0.020000,0.00994934,0.00083651,0.00000000,0.00000000,0.66998311,2.00009899
4,0.079522,0.03892925,0.01007534,0.00000000,0.00000000,0.67964308,2.00151491
4,0.139045,0.06688581,0.02689931,0.00000000,0.00000000,0.68896194,2.00446872
4,0.198567,0.09372000,0.04977117,0.00000000,0.00000000,0.69790667,2.00876424
4,0.258090,0.11933678,0.07774114,0.00000000,0.00000000,0.70644559,2.01419092
4,0.317612,0.14364542,0.11010931,0.00000000,0.00000000,0.71454847,2.02052865
4,0.377134,0.16655982,0.14631642,0.00000000,0.00000000,0.72218661,2.02755239
4,0.436657,0.18799881,0.18589367,0.00000000,0.00000000,0.72933294,2.03503666
4,0.496179,0.20788647,0.22843531,0.00000000,0.00000000,0.73596216,2.04275969
4,0.555702,0.22615236,0.27358214,0.00000000,0.00000000,0.74205079,2.05050715
4,0.615224,0.24273178,0.32101072,0.00000000,0.00000000,0.74757726,2.05807552
4,0.674746,0.25756600,0.37042603,0.00000000,0.00000000,0.75252200,2.06527504
4,0.734269,0.27060250,0.42155620,0.00000000,0.00000000,0.75686750,2.07193215
4,0.793791,0.28179508,0.47414866,0.00000000,0.00000000,0.76059836,2.07789169
4,0.853314,0.29110412,0.52796721,0.00000000,0.00000000,0.76370137,2.08301859
4,0.912836,0.29849664,0.58278981,0.00000000,0.00000000,0.76616555,2.08719931
4,0.972358,0.30394645,0.63840681,0.00000000,0.00000000,0.76798215,2.09034298
4,1.031881,0.30743425,0.69461954,0.00000000,0.00000000,0.76914475,2.09238220
4,1.091403,0.30894770,0.75123921,0.00000000,0.00000000,0.76964923,2.09327369
4,1.150926,0.30848143,0.80808601,0.00000000,0.00000000,0.76949381,2.09299860
4,1.210448,0.30603708,0.86498834,0.00000000,0.00000000,0.76867903,2.09156276
4,1.269970,0.30162333,0.92178223,0.00000000,0.00000000,0.76720778,2.08899654
4,1.329493,0.29525580,0.97831079,0.00000000,0.00000000,0.76508527,2.08535463
4,1.389015,0.28695704,1.03442382,0.00000000,0.00000000,0.76231901,2.08071559
4,1.448538,0.27675645,1.08997746,0.00000000,0.00000000,0.75891882,2.07518108
4,1.508060,0.26469016,1.14483385,0.00000000,0.00000000,0.75489672,2.06887494
4,1.567582,0.25080090,1.19886095,0.00000000,0.00000000,0.75026697,2.06194189
4,1.627105,0.23513787,1.25193226,0.00000000,0.00000000,0.74504596,2.05454600
4,1.686627,0.21775654,1.30392668,0.00000000,0.00000000,0.73925218,2.04686874
4,1.746150,0.19871849,1.35472836,0.00000000,0.00000000,0.73290616,2.03910670
4,1.805672,0.17809113,1.40422656,0.00000000,0.00000000,0.72603038,2.03146888
4,1.865194,0.15594752,1.45231557,0.00000000,0.00000000,0.71864917,2.02417354
4,1.924717,0.13236610,1.49889459,0.00000000,0.00000000,0.71078870,2.01744471
4,1.984239,0.10743040,1.54386766,0.00000000,0.00000000,0.70247680,2.01150818
4,2.043762,0.08122871,1.58714363,0.00000000,0.00000000,0.69374290,2.00658726
4,2.103284,0.05385387,1.62863606,0.00000000,0.00000000,0.68461796,2.00289814
4,2.162806,0.02540280,1.66826322,0.00000000,0.00000000,0.67513427,2.00064520
4,2.222329,0.00000000,1.70594802,0.00000000,0.00000000,0.66666667,2.00000000
4,2.281851,0.00000000,1.74161803,0.00000000,0.00000000,0.66666667,2.00000000
4,2.341374,0.00000000,1.77520538,0.00000000,0.00000000,0.66666667,2.00000000
4,2.400896,0.00000000,1.80664681,0.00000000,0.00000000,0.66666667,2.00000000
4,2.460418,0.00000000,1.83588363,0.00000000,0.00000000,0.66666667,2.00000000
4,2.519941,0.00000000,1.86286171,0.00000000,0.00000000,0.66666667,2.00000000
4,2.579463,0.00000000,1.88753146,0.00000000,0.00000000,0.66666667,2.00000000
4,2.638986,0.00000000,1.90984783,0.00000000,0.00000000,0.66666667,2.00000000
4,2.698508,0.00000000,1.92977031,0.00000000,0.00000000,0.66666667,2.00000000
