N,chi_t,witness,C,S_ent,sz_A,sz_B,F_pred,S_chsh
2,0.020000,-0.25000000,0.00999983,-0.00000000,0.00000000,0.00000000,0.66999994,2.00009999
2,0.079522,-0.25000000,0.03975072,-0.00000000,0.00000000,0.00000000,0.67991691,2.00157950
2,0.139045,-0.25000000,0.06946640,0.00000000,0.00000000,0.00000000,0.68982213,2.00481977
2,0.198567,-0.25000000,0.09912056,-0.00000000,0.00000000,0.00000000,0.69970685,2.00980087
2,0.258090,-0.25000000,0.12868694,-0.00000000,0.00000000,0.00000000,0.70956231,2.01649233
2,0.317612,-0.25000000,0.15813934,-0.00000000,0.00000000,0.00000000,0.71937978,2.02485363
2,0.377134,-0.25000000,0.18745167,-0.00000000,0.00000000,0.00000000,0.72915056,2.03483477
2,0.436657,-0.25000000,0.21659800,0.00000000,0.00000000,0.00000000,0.73886600,2.04637699
2,0.496179,-0.25000000,0.24555249,0.00000000,0.00000000,0.00000000,0.74851750,2.05941354
2,0.555702,-0.25000000,0.27428951,-0.00000000,0.00000000,0.00000000,0.75809650,2.07387052
2,0.615224,-0.25000000,0.30278360,-0.00000000,0.00000000,0.00000000,0.76759453,2.08966783
2,0.674746,-0.25000000,0.33100951,0.00000000,0.00000000,0.00000000,0.77700317,2.10672001
2,0.734269,-0.25000000,0.35894227,0.00000000,0.00000000,0.00000000,0.78631409,2.12493723
2,0.793791,-0.25000000,0.38655713,-0.00000000,0.00000000,0.00000000,0.79551904,2.14422612
2,0.853314,-0.25000000,0.41382962,-0.00000000,0.00000000,0.00000000,0.80460987,2.16449066
2,0.912836,-0.25000000,0.44073559,0.00000000,0.00000000,0.00000000,0.81357853,2.18563297
2,0.972358,-0.25000000,0.46725123,-0.00000000,0.00000000,0.00000000,0.82241708,2.20755405
2,1.031881,-0.25000000,0.49335304,0.00000000,0.00000000,0.00000000,0.83111768,2.23015447
2,1.091403,-0.25000000,0.51901791,-0.00000000,0.00000000,0.00000000,0.83967264,2.25333495
2,1.150926,-0.25000000,0.54422311,-0.00000000,0.00000000,0.00000000,0.84807437,2.27699696
2,1.210448,-0.25000000,0.56894630,-0.00000000,0.00000000,0.00000000,0.85631543,2.30104315
2,1.269970,-0.25000000,0.59316559,-0.00000000,0.00000000,0.00000000,0.86438853,2.32537775
2,1.329493,-0.25000000,0.61685955,-0.00000000,0.00000000,0.00000000,0.87228652,2.34990698
2,1.389015,-0.25000000,0.64000717,0.00000000,0.00000000,0.00000000,0.88000239,2.37453926
2,1.448538,-0.25000000,0.66258795,-0.00000000,0.00000000,0.00000000,0.88752932,2.39918553
2,1.508060,-0.25000000,0.68458191,0.00000000,0.00000000,0.00000000,0.89486064,2.42375940
2,1.567582,-0.25000000,0.70596957,-0.00000000,0.00000000,0.00000000,0.90198986,2.44817731
2,1.627105,-0.25000000,0.72673197,-0.00000000,0.00000000,0.00000000,0.90891066,2.47235868
2,1.686627,-0.25000000,0.74685072,0.00000000,0.00000000,0.00000000,0.91561691,2.49622596
2,1.746150,-0.25000000,0.76630803,0.00000000,0.00000000,0.00000000,0.92210268,2.51970474
2,1.805672,-0.25000000,0.78508664,-0.00000000,0.00000000,0.00000000,0.92836221,2.54272376
2,1.865194,-0.25000000,0.80316993,-0.00000000,0.00000000,0.00000000,0.93438998,2.56521495
2,1.924717,-0.25000000,0.82054187,-0.00000000,0.00000000,0.00000000,0.94018062,2.58711343
2,1.984239,-0.25000000,0.83718710,0.00000000,0.00000000,0.00000000,0.94572903,2.60835752
2,2.043762,-0.25000000,0.85309085,0.00000000,0.00000000,0.00000000,0.95103028,2.62888875
2,2.103284,-0.25000000,0.86823906,-0.00000000,0.00000000,0.00000000,0.95607969,2.64865179
2,2.162806,-0.25000000,0.88261828,-0.00000000,0.00000000,0.00000000,0.96087276,2.66759448
2,2.222329,-0.25000000,0.89621584,-0.00000000,0.00000000,0.00000000,0.96540528,2.68566776
2,2.281851,-0.25000000,0.90901963,0.00000000,0.00000000,0.00000000,0.96967321,2.70282570
2,2.341374,-0.25000000,0.92101833,0.00000000,0.00000000,0.00000000,0.97367278,2.71902539
2,2.400896,-0.25000000,0.93220132,-0.00000000,0.00000000,0.00000000,0.97740044,2.73422699
2,2.460418,-0.25000000,0.94255869,0.00000000,0.00000000,0.00000000,0.98085290,2.74839364
2,2.519941,-0.25000000,0.95208128,0.00000000,0.00000000,0.00000000,0.98402709,2.76149146
2,2.579463,-0.25000000,0.96076064,-0.00000000,0.00000000,0.00000000,0.98692021,2.77348952
2,2.638986,-0.25000000,0.96858910,0.00000000,0.00000000,0.00000000,0.98952970,2.78435978
2,2.698508,-0.25000000,0.97555969,0.00000000,0.00000000,0.00000000,0.99185323,2.79407712
2,2.758030,-0.25000000,0.98166629,-0.00000000,0.00000000,0.00000000,0.99388876,2.80261929
2,2.817553,-0.25000000,0.98690344,0.00000000,0.00000000,0.00000000,0.99563448,2.80996686
2,2.877075,-0.25000000,0.99126655,-0.00000000,0.00000000,0.00000000,0.99708885,2.81610325
2,2.936598,-0.25000000,0.99475172,-0.00000000,0.00000000,0.00000000,0.99825057,2.82101471
2,2.996120,-0.25000000,0.99735587,0.00000000,0.00000000,0.00000000,0.99911862,2.82469025
2,3.055642,-0.25000000,0.99907670,-0.00000000,0.00000000,0.00000000,0.99969223,2.82712170
2,3.115165,-0.25000000,0.99991269,-0.00000000,0.00000000,0.00000000,0.99997090,2.82830366
2,3.174687,-0.25000000,0.99986309,0.00000000,0.00000000,0.00000000,0.99995436,2.82823352
2,3.234210,-0.25000000,0.99892794,0.00000000,0.00000000,0.00000000,0.99964265,2.82691143
2,3.293732,-0.25000000,0.99710809,0.00000000,0.00000000,0.00000000,0.99903603,2.82434032
2,3.353254,-0.25000000,0.99440512,0.00000000,0.00000000,0.00000000,0.99813504,2.82052589
2,3.412777,-0.25000000,0.99082145,-0.00000000,0.00000000,0.00000000,0.99694048,2.81547665
2,3.472299,-0.25000000,0.98636026,-0.00000000,0.00000000,0.00000000,0.99545342,2.80920386
2,3.531822,-0.25000000,0.98102547,-0.00000000,0.00000000,0.00000000,0.99367516,2.80172161
2,3.591344,-0.25000000,0.97482183,0.00000000,0.00000000,0.00000000,0.99160728,2.79304681
2,3.650866,-0.25000000,0.96775483,-0.00000000,0.00000000,0.00000000,0.98925161,2.78319918
2,3.710389,-0.25000000,0.95983070,-0.00000000,0.00000000,0.00000000,0.98661023,2.77220130
2,3.769911,-0.25000000,0.95105650,0.00000000,0.00000000,0.00000000,0.98368550,2.76007862
4,0.020000,-0.24997500,0.00994934,0.00083651,0.00000000,0.00000000,0.66998311,1.99990000
4,0.079522,-0.24960497,0.03892925,0.01007534,0.00000000,0.00000000,0.67964308,1.99841926
4,0.139045,-0.24879360,0.06688581,0.02689931,0.00000000,0.00000000,0.68896194,1.99516858
4,0.198567,-0.24754378,0.09372000,0.04977117,0.00000000,0.00000000,0.69790667,1.99015086
4,0.258090,-0.24585992,0.11933678,0.07774114,0.00000000,0.00000000,0.70644559,1.98337054
4,0.317612,-0.24374799,0.14364542,0.11010931,0.00000000,0.00000000,0.71454847,1.97483361
4,0.377134,-0.24121547,0.16655982,0.14631642,0.00000000,0.00000000,0.72218661,1.96454765
4,0.436657,-0.23827133,0.18799881,0.18589367,0.00000000,0.00000000,0.72933294,1.95252176
4,0.496179,-0.23492599,0.20788647,0.22843531,0.00000000,0.00000000,0.73596216,1.93876659
4,0.555702,-0.23119132,0.22615236,0.27358214,0.00000000,0.00000000,0.74205079,1.92329432
4,0.615224,-0.22708052,0.24273178,0.32101072,0.00000000,0.00000000,0.74757726,1.90611867
4,0.674746,-0.22260818,0.25756600,0.37042603,0.00000000,0.00000000,0.75252200,1.88725483
4,0.734269,-0.21779011,0.27060250,0.42155620,0.00000000,0.00000000,0.75686750,1.86671952
4,0.793791,-0.21264340,0.28179508,0.47414866,0.00000000,0.00000000,0.76059836,1.84453093
4,0.853314,-0.20718626,0.29110412,0.52796721,0.00000000,0.00000000,0.76370137,1.82070870
4,0.912836,-0.20143803,0.29849664,0.58278981,0.00000000,0.00000000,0.76616555,1.79527394
4,0.972358,-0.19541907,0.30394645,0.63840681,0.00000000,0.00000000,0.76798215,1.76824916
4,1.031881,-0.18915069,0.30743425,0.69461954,0.00000000,0.00000000,0.76914475,1.73965832
4,1.091403,-0.18265510,0.30894770,0.75123921,0.00000000,0.00000000,0.76964923,1.70952672
4,1.150926,-0.17595530,0.30848143,0.80808601,0.00000000,0.00000000,0.76949381,1.67788105
4,1.210448,-0.16907503,0.30603708,0.86498834,0.00000000,0.00000000,0.76867903,1.64474935
4,1.269970,-0.16203864,0.30162333,0.92178223,0.00000000,0.00000000,0.76720778,1.61016095
4,1.329493,-0.15487107,0.29525580,0.97831079,0.00000000,0.00000000,0.76508527,1.57414650
4,1.389015,-0.14759771,0.28695704,1.03442382,0.00000000,0.00000000,0.76231901,1.53673787
4,1.448538,-0.14024430,0.27675645,1.08997746,0.00000000,0.00000000,0.75891882,1.49796822
4,1.508060,-0.13283690,0.26469016,1.14483385,0.00000000,0.00000000,0.75489672,1.45787187
4,1.567582,-0.12540174,0.25080090,1.19886095,0.00000000,0.00000000,0.75026697,1.41648433
4,1.627105,-0.11796516,0.23513787,1.25193226,0.00000000,0.00000000,0.74504596,1.41197217
4,1.686627,-0.11055350,0.21775654,1.30392668,0.00000000,0.00000000,0.73925218,1.40473706
4,1.746150,-0.10319300,0.19871849,1.35472836,0.00000000,0.00000000,0.73290616,1.39252656
4,1.805672,-0.09590974,0.17809113,1.40422656,0.00000000,0.00000000,0.72603038,1.37538390
4,1.865194,-0.08872952,0.15594752,1.45231557,0.00000000,0.00000000,0.71864917,1.35336982
4,1.924717,-0.08167776,0.13236610,1.49889459,0.00000000,0.00000000,0.71078870,1.32656227
4,1.984239,-0.07477944,0.10743040,1.54386766,0.00000000,0.00000000,0.70247680,1.29505622
4,2.043762,-0.06805900,0.08122871,1.58714363,0.00000000,0.00000000,0.69374290,1.25896324
4,2.103284,-0.06154023,0.05385387,1.62863606,0.00000000,0.00000000,0.68461796,1.21841118
4,2.162806,-0.05524623,0.02540280,1.66826322,0.00000000,0.00000000,0.67513427,1.17354366
4,2.222329,-0.04919929,0.00000000,1.70594802,0.00000000,0.00000000,0.66666667,1.12451960
4,2.281851,-0.04342083,0.00000000,1.74161803,0.00000000,0.00000000,0.66666667,1.07151265
4,2.341374,-0.03793131,0.00000000,1.77520538,0.00000000,0.00000000,0.66666667,1.01471053
4,2.400896,-0.03275017,0.00000000,1.80664681,0.00000000,0.00000000,0.66666667,0.95431444
4,2.460418,-0.02789577,0.00000000,1.83588363,0.00000000,0.00000000,0.66666667,0.89053829
4,2.519941,-0.02338531,0.00000000,1.86286171,0.00000000,0.00000000,0.66666667,0.82360797
4,2.579463,-0.01923474,0.00000000,1.88753146,0.00000000,0.00000000,0.66666667,0.75376054
4,2.638986,-0.01545879,0.00000000,1.90984783,0.00000000,0.00000000,0.66666667,0.68124339
4,2.698508,-0.01207081,0.00000000,1.92977031,0.00000000,0.00000000,0.66666667,0.60631336
4,2.758030,-0.00908282,0.00000000,1.94726295,0.00000000,0.00000000,0.66666667,0.52923585
4,2.817553,-0.00650539,0.00000000,1.96229428,0.00000000,0.00000000,0.66666667,0.45028385
4,2.877075,-0.00434765,0.00000000,1.97483741,0.00000000,0.00000000,0.66666667,0.36973701
4,2.936598,-0.00261725,0.00000000,1.98486995,0.00000000,0.00000000,0.66666667,0.28788061
4,2.996120,-0.00132031,0.00000000,1.99237405,0.00000000,0.00000000,0.66666667,0.20500457
4,3.055642,-0.00046143,0.00000000,1.99733636,0.00000000,0.00000000,0.66666667,0.12140243
4,3.115165,-0.00004365,0.00000000,1.99974810,0.00000000,0.00000000,0.66666667,0.03737030
4,3.174687,-0.00006845,0.00000000,1.99960499,0.00000000,0.00000000,0.66666667,0.04679419
4,3.234210,-0.00053574,0.00000000,1.99690728,0.00000000,0.00000000,0.66666667,0.13079295
4,3.293732,-0.00144386,0.00000000,1.99165976,0.00000000,0.00000000,0.66666667,0.21432845
